"","jaar","geo","gdp","gas"
"117","2003","NO",63400,12.3
"118","2003","PL",6900,10.3
"119","2003","PT",16300,8
"120","2003","RO",4500,7
"121","2003","SE",35500,8
"122","2003","SI",15400,10
"123","2003","SK",8900,9.4
"124","2003","UK",28800,12.3
"125","2004","AT",33200,11.4
"126","2004","BE",32000,14.7
"127","2004","BG",3900,8.3
"128","2004","CH",51600,7.8
"129","2004","CY",22300,13.7
"130","2004","CZ",12800,14.8
"131","2004","DE",29600,12.6
"132","2004","DK",43500,13.5
"133","2004","EE",10000,14.2
"134","2004","EL",20800,12.3
"135","2004","ES",23100,10.1
"136","2004","FI",33400,15.9
"137","2004","FR",30100,9.1
"138","2004","HR",9800,6.9
"139","2004","HU",9500,7.6
"140","2004","IE",38100,17.2
"141","2004","IS",31400,15.4
"142","2004","IT",27900,10.2
"143","2004","LT",7300,6.4
"144","2004","LU",75300,30.6
"145","2004","LV",7300,5
"146","2004","MT",14300,7.7
"147","2004","NL",35900,14.2
"148","2004","NO",65600,12.4
"149","2004","PL",7300,10.4
"150","2004","PT",16500,8.3
"151","2004","RO",4900,7
"152","2004","SE",36900,7.9
"153","2004","SI",16000,10.2
"154","2004","SK",9300,9.6
"155","2004","UK",29300,12.2
"156","2005","AT",33700,11.5
"157","2005","BE",32500,14.2
"158","2005","BG",4200,8.4
"159","2005","CH",52900,7.8
"160","2005","CY",23100,13.6
"161","2005","CZ",13600,14.6
"162","2005","DE",29800,12.3
"163","2005","DK",44400,12.7
"164","2005","EE",11100,14.2
"165","2005","EL",20900,12.6
"166","2005","ES",23500,10.3
"167","2005","FI",34200,13.5
"168","2005","FR",30300,9
"169","2005","HR",10200,7
"170","2005","HU",9900,7.6
"171","2005","IE",39400,17.3
"172","2005","IS",33000,14.8
"173","2005","IT",28000,10.2
"174","2005","LT",8000,6.9
"175","2005","LU",76500,30.7
"176","2005","LV",8100,5.2
"177","2005","MT",14800,8
"178","2005","NL",36600,13.8
"179","2005","NO",66800,12.1
"180","2005","PL",7500,10.4
"181","2005","PT",16600,8.5
"182","2005","RO",5100,7
"183","2005","SE",37800,7.6
"184","2005","SI",16600,10.3
"185","2005","SK",9900,9.5
"186","2005","UK",30000,12.1
"187","2006","AT",34700,11.1
"188","2006","BE",33100,13.9
"189","2006","BG",4500,8.6
"190","2006","CH",54700,7.8
"191","2006","CY",23800,13.7
"192","2006","CZ",14500,14.7
"193","2006","DE",31000,12.4
"194","2006","DK",46000,14.1
"195","2006","EE",12300,13.8
"196","2006","EL",22000,12.3
"197","2006","ES",24100,10
"198","2006","FI",35500,15.7
"199","2006","FR",30800,8.8
"200","2006","HR",10700,7.1
"201","2006","HU",10300,7.5
"202","2006","IE",40300,16.8
"203","2006","IS",33800,16.7
"204","2006","IT",28500,10
"205","2006","LT",8700,7.1
"206","2006","LU",79200,29.7
"207","2006","LV",9200,5.5
"208","2006","MT",15000,8.2
"209","2006","NL",37800,13.5
"210","2006","NO",67900,12
"211","2006","PL",8000,10.8
"212","2006","PT",16800,8
"213","2006","RO",5600,7.1
"214","2006","SE",39400,7.6
"215","2006","SI",17500,10.4
"216","2006","SK",10800,9.5
"217","2006","UK",30600,11.9
"218","2007","AT",35900,10.8
"219","2007","BE",33900,13.5
"220","2007","BG",4800,9.1
"221","2007","CH",56500,7.5
"222","2007","CY",24400,13.8
"223","2007","CZ",15200,14.8
"224","2007","DE",32100,12.1
"225","2007","DK",46200,13.2
"226","2007","EE",13300,16.6
"227","2007","EL",22700,12.5
"228","2007","ES",24500,10.1
"229","2007","FI",37200,15.3
"230","2007","FR",31400,8.6
"231","2007","HR",11200,7.4
"232","2007","HU",10400,7.3
"233","2007","IE",41200,16.2
"234","2007","IS",36100,17.3
"235","2007","IT",28700,9.8
"236","2007","LT",9800,7.9
"237","2007","LU",84400,28.2
"238","2007","LV",10200,5.8
"239","2007","MT",15500,8.4
"240","2007","NL",39100,13.4
"241","2007","NO",69200,12.3
"242","2007","PL",8500,10.9
"243","2007","PT",17200,7.8
"244","2007","RO",6100,7.3
"245","2007","SE",40400,7.4
"246","2007","SI",18600,10.4
"247","2007","SK",11900,9.2
"248","2007","UK",31100,11.6
"249","2008","AT",36300,10.7
"250","2008","BE",33900,13.4
"251","2008","BG",5100,9
"252","2008","CH",57000,7.6
"253","2008","CY",24700,13.8
"254","2008","CZ",15400,14.2
"255","2008","DE",32500,12.2
"256","2008","DK",45700,12.5
